Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
IMEI;METAR;Date/Time (UTC);Unit Type;DataType;Latitude;Longitude;Elevation (ft);Tilt (°);Orientation (°);Wind Direction (°);Wind Speed (kt);Peak Wind Direction (°);Peak Wind Speed (kt);Visibility (SM);Weather;Cloud Layers (ft);Temperature (°F);DewPoint (°F);Relative Humidity (%);Altimeter (inHg);Precipitation (in/hr);Ceilometer Hits;Wind Chill (°F);Heat Index (°F);Lightning Frequency;Lightning Distance (NM);Voltage (V);Mode;Station Pressure (inHg);Pressure Altitude (ft);Density Altitude (ft);Sedimentatary Interference;Full Packet;
300534066581040;METAR 300534066581040 221301Z AUTO 35010G11KT 6SM CLR M11/M16 A3022 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1301Z;;Weather;53.3075;-60.4006;131;8;7;351;10;351;11;6SM;;CLR;12.6;3.7;67;30.22;0;0/4;-1.4;6.7;0; ;4.3;20 Minute;30.08;-157;-3399;OK;@0deN:2:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,13:01:14  LA:53.30750  LO:-60.40060  EL:40:z  OR:7:8:8  TA:-10.8  BA:1019.00:3022  RH:67  WI:10:351:0.3:S  GU:11:351  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:267:267  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 221300Z AUTO 36009G10KT 010V360 6SM CLR M11/M16 A3023 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1300Z;;Weather;53.3075;-60.4006;131;7;9;2;9;7;10;6SM;;CLR;12.6;3.7;67;30.23;0;0/4;-0.6;6.7;0; ;4.3;20 Minute;30.09;-159;-3399;OK;@0deN:1:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,13:00:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:9:7:7  TA:-10.8  BA:1019.10:3023  RH:67  WI:9:2:0.3:S  GU:10:7  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:267:267  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 000000Z AUTO 34012G13KT 6SM CLR M11/M16 RMK AO2 SLPNO ;02/22/2026 1255Z;;Weather;;;-3;8;7;340;12;339;13;6SM;;CLR;12.6;3.7;67;;0;0/4;-2.7;6.7;0; ;4.4;20 Minute;;-159;;OK;@0deN:0:10/10  B:4.40:2:000000:79:000:ZZ  T:-00:00:00  LA:?  LO:?  EL:-1:z  OR:7:8:8  TA:-10.8  BA:1019.10  RH:67  WI:12:340:0.0:S  GU:13:339  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:269:269  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 221202Z AUTO 01011KT 6SM CLR M11/M16 A3022 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1202Z;;Weather;53.3075;-60.4006;135;8;5;6;11;6;11;6SM;;CLR;12.0;4.1;70;30.22;0;0/4;-2.7;6.2;0; ;4.2;20 Minute;30.07;-148;-3399;OK;@0deN:2:10/10  B:4.20:2:000000:79:000:ZZ  T:26/02/22,12:02:49  LA:53.30750  LO:-60.40060  EL:41:z  OR:5:8:8  TA:-11.1  BA:1018.70:3022  RH:70  WI:11:6:0.1:S  GU:11:6  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:261:261  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 221202Z AUTO 36009G10KT 6SM CLR M11/M16 A3022 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1202Z;;Weather;53.3075;-60.4006;135;8;8;0;9;359;10;6SM;;CLR;11.8;3.9;70;30.22;0;0/4;-1.5;6;0; ;4.3;20 Minute;30.07;-148;-3399;OK;@0deN:1:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,12:02:17  LA:53.30750  LO:-60.40060  EL:41:z  OR:8:8:8  TA:-11.2  BA:1018.70:3022  RH:70  WI:9:0:0.1:S  GU:10:359  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 000000Z AUTO 01010G11KT 6SM CLR M11/M16 RMK AO2 SLPNO ;02/22/2026 1156Z;;Weather;;;-3;8;8;7;10;8;11;6SM;;CLR;11.8;3.9;70;;0;0/4;-2.3;6;0; ;4.4;20 Minute;;-151;;OK;@0deN:0:10/10  B:4.40:2:000000:79:000:ZZ  T:-00:00:00  LA:?  LO:?  EL:-1:z  OR:8:8:8  TA:-11.2  BA:1018.80  RH:70  WI:10:7:0.2:S  GU:11:8  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:262:262  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 221020Z AUTO 35010G11KT 6SM CLR M10/M15 A3021 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1020Z;;Weather;53.3075;-60.4006;131;8;8;351;10;353;11;6SM;;CLR;13.3;5.4;70;30.21;0;0/4;-0.5;7.6;0; ;4.3;20 Minute;30.07;-140;-3301;OK;@0deN:2:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,10:20:26  LA:53.30750  LO:-60.40060  EL:40:z  OR:8:8:8  TA:-10.4  BA:1018.40:3021  RH:70  WI:10:351:0.3:S  GU:11:353  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 221019Z AUTO 35012KT 6SM CLR M10/M15 A3020 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 1019Z;;Weather;53.3075;-60.4006;131;8;6;346;12;347;12;6SM;;CLR;13.3;5.4;70;30.2;0;0/4;-1.8;7.6;0; ;4.3;20 Minute;30.06;-138;-3301;OK;@0deN:1:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,10:19:55  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-10.4  BA:1018.30:3020  RH:70  WI:12:346:0.3:S  GU:12:347  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:262:262  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 000000Z AUTO 35012G14KT 6SM CLR M10/M15 RMK AO2 SLPNO ;02/22/2026 1014Z;;Weather;;;-3;7;5;354;12;355;14;6SM;;CLR;13.3;5.4;70;;0;0/4;-1.8;7.6;0; ;4.4;20 Minute;;-138;;OK;@0deN:0:10/10  B:4.40:2:000000:79:000:ZZ  T:-00:00:00  LA:?  LO:?  EL:-1:z  OR:5:7:7  TA:-10.4  BA:1018.30  RH:70  WI:12:354:0.7:S  GU:14:355  LD:?:0:--  CL:0aa00:?:?:?:?  PW:0.00:0:?:--:90:260:260  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
