Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
18. 00:15Z,15,60,20,3,4,,,6SM,15SM,///041 ///042 ///043 ///044,CYYR BKN042,M3,M03,M8,M07,A2992,A2997
18. 00:55Z,5,300,230,2,3,3.0,,6SM,15SM,///036 ///040 ///042,CYYR OVC038,M3,M03,M8,M06,A2992,A2996
18. 01:15Z,15,360,230,1,3,2.0,,6SM,15SM,///035 ///040 ///041,CYYR OVC038,M3,M03,M8,M06,A2992,A2996
18. 01:55Z,2,280,270,6,5,8.0,,6SM,12SM,///031 ///032 ///033 ///037,CYYR OVC036,M2,M03,M7,M06,A2991,A2995
18. 02:15Z,15,280,290,3,5,,,6SM,12SM,///031 ///033,CYYR -SHSN OVC035,M3,M03,M7,M06,A2991,A2995
18. 02:55Z,5,250,230,4,5,5.0,,6SM,15SM,///033 ///035,CYYR -SHSN OVC034,M3,M04,M8,M06,A2991,A2995
18. 03:15Z,15,220,230,3,5,,,6SM,15SM,///033 ///034 ///035,CYYR -SHSN OVC034,M3,M04,M8,M06,A2991,A2995
18. 03:35Z,2,260,230,2,3,3.0,,6SM,15SM,///032 ///033,CYYR FEW018 OVC034,M3,M04,M7,M06,A2990,A2995
18. 03:55Z,5,260,220,3,5,,,6SM,15SM,///031 ///033,CYYR FEW018 OVC034,M3,M04,M8,M06,A2990,A2994
18. 04:15Z,15,250,220,2,5,3.0,,6SM,15SM,///033 ///034,CYYR FEW018 OVC034,M3,M04,M8,M06,A2989,A2994
18. 04:55Z,2,190,150,3,4,4.0,,6SM,15SM,///039,CYYR -SHSN FEW018 OVC035,M3,M03,M7,M05,A2988,A2993
18. 05:15Z,15,190,170,3,4,5.0,,6SM,12SM,///033,CYYR -SHSN FEW018 BKN035 OVC070,M3,M04,M8,M06,A2988,A2993
18. 05:35Z,1,200,270,3,2,4.0,,6SM,4SM,///002,CYYR -SHSN FEW018 BKN036 OVC060,M3,M04,M8,M05,A2988,A2992
18. 05:55Z,4,360,260,1,2,2.0,,6SM,2 1/2SM,///002,CYYR -SHSN FEW019 OVC035,M4,M04,M7,M05,A2987,A2992
18. 06:15Z,15,360,240,1,3,,,6SM,3SM,///002,CYYR -SHSN FEW015 BKN034 OVC055,M4,M04,M7,M05,A2987,A2991
18. 06:35Z,3,360,180,1,2,2.0,,6SM,2SM,CLR,CYYR -SHSN FEW015 BKN027 OVC055,M4,M05,M7,M05,A2987,A2991
18. 06:55Z,5,170,130,3,3,4.0,,6SM,4SM,CLR,CYYR -SN FEW015 OVC025,M5,M05,M7,M05,A2986,A2991
18. 07:15Z,15,190,130,4,3,5.0,,6SM,4SM,CLR,CYYR -SN FEW015 OVC025,M5,M05,M7,M05,A2986,A2991
18. 07:35Z,1,190,150,5,5,6.0,,6SM,7SM,CLR,CYYR -SN FEW025 OVC033,M5,M05,M8,M06,A2986,A2991
18. 07:55Z,5,190,160,6,5,7.0,,6SM,10SM,CLR,CYYR -SN FEW015 OVC025,M5,M05,M8,M06,A2986,A2990
18. 08:15Z,15,200,160,4,5,6.0,,6SM,10SM,CLR,CYYR -SN FEW015 OVC025,M5,M05,M8,M06,A2986,A2990
18. 08:55Z,5,210,190,3,6,4.0,,6SM,12SM,CLR,CYYR -SN FEW021 OVC028,M5,M05,M8,M07,A2985,A2990
18. 09:15Z,15,210,190,3,6,4.0,,6SM,12SM,CLR,CYYR -SN FEW021 OVC028,M5,M05,M8,M07,A2985,A2990
18. 09:55Z,5,200,160,2,4,4.0,,6SM,15SM,CLR,CYYR -SN OVC026,M5,M05,M9,M07,A2984,A2989
18. 10:15Z,12,360,150,1,4,2.0,,6SM,15SM,CLR,CYYR -SN OVC023,M5,M05,M9,M07,A2984,A2989
18. 10:35Z,8,170,150,2,4,,,6SM,15SM,CLR,CYYR -SN OVC023,M5,M05,M9,M07,A2984,A2989
18. 10:55Z,5,180,150,3,3,,,6SM,15SM,CLR,CYYR -SN FEW010 BKN021 BKN100,M5,M06,M9,M08,A2984,A2988
18. 11:15Z,15,190,150,4,3,5.0,,6SM,15SM,CLR,CYYR -SN FEW010 BKN021 BKN100,M6,M06,M9,M08,A2984,A2988
18. 11:55Z,5,190,180,5,5,6.0,,6SM,15SM,///017 ///018 ///021,CYYR -SN FEW010 BKN019 BKN100,M5,M05,M9,M08,A2984,A2988
18. 12:15Z,0,190,160,2,4,,,6SM,15SM,CLR,CYYR -SN SCT020 BKN050 BKN100,M5,M04,M9,M08,A2984,A2989
18. 12:55Z,5,190,180,2,2,,,6SM,15SM,///026 ///027,CYYR -SN FEW010 SCT026 BKN055 BKN110,M5,M05,M9,M08,A2984,A2988
18. 13:15Z,15,0,180,0,2,,,6SM,15SM,///027 ///028,CYYR -SN FEW010 SCT026 BKN055 BKN110,M4,M05,M9,M08,A2983,A2988
18. 13:55Z,5,10,0,2,0,4.0,,6SM,15SM,///029 ///055,CYYR -SN FEW015 BKN030 BKN055,M2,M02,M8,M08,A2983,A2987
18. 14:15Z,15,360,0,1,0,2.0,,6SM,15SM,///055,CYYR -SN FEW015 BKN030 BKN055,M3,M02,M8,M08,A2982,A2987
18. 14:55Z,5,340,0,2,0,3.0,,6SM,12SM,///019 ///055,CYYR -SN SCT032 BKN055,M2,M01,M8,M08,A2981,A2986
