Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
Time (Z);Diff_Min;MWS_Wind_Dir;CYYR_Wind_Dir;MWS_Wind_Spd;CYYR_Wind_Spd;MWS_Wind_Gust;CYYR_Wind_Gust;MWS_Vis;CYYR_Vis;MWS_Wx;CYYR_Wx;MWS_Temp;CYYR_Temp;MWS_Dew;CYYR_Dew;MWS_QNH;CYYR_QNH;P-Difference
22. 00:15Z;15;60;30;4;5;5.0;;6SM;15SM;CLR;CYYR FEW025 FEW060;M8;M08;M12;M11;3015;3020;1,69
22. 00:55Z;5;10;80;2;2;3.0;;6SM;15SM;///021 ///022 ///026 ///031;CYYR BKN032;M8;M10;M12;M12;3015;3020;1,69
22. 01:15Z;15;360;80;1;2;3.0;;6SM;15SM;///030 ///031;CYYR BKN032;M9;M10;M13;M12;3015;3020;1,69
22. 01:55Z;5;360;340;4;3;5.0;;6SM;15SM;///028;CYYR BKN029;M9;M09;M13;M11;3015;3020;1,69
22. 02:15Z;15;360;340;4;3;5.0;;6SM;15SM;///026 ///029 ///030;CYYR BKN029;M8;M09;M12;M11;3015;3020;1,69
22. 02:55Z;5;10;360;7;7;;;6SM;15SM;///024 ///025 ///026;CYYR OVC027;M8;M08;M12;M11;3015;3020;1,69
22. 03:15Z;4;10;360;6;8;8.0;;6SM;15SM;///020 ///021 ///022;CYYR -SN OVC027;M8;M08;M12;M11;3014;3020;2,03
22. 03:35Z;4;20;10;8;9;12.0;;6SM;15SM;///018 ///019 ///020;CYYR -SN OVC020;M8;M08;M12;M10;3015;3020;1,69
22. 03:55Z;5;30;360;9;9;13.0;17.0;6SM;15SM;///019;CYYR -SN OVC020;M8;M07;M12;M11;3015;3020;1,69
22. 04:15Z;15;30;360;7;9;9.0;17.0;6SM;15SM;///019;CYYR -SN OVC020;M7;M07;M12;M11;3015;3020;1,69
22. 04:55Z;5;10;360;10;7;13.0;;6SM;12SM;///018 ///019;CYYR -SN OVC019;M7;M07;M12;M11;3016;3021;1,69
22. 05:15Z;15;10;360;8;7;10.0;;6SM;12SM;///019;CYYR -SN OVC019;M7;M07;M12;M11;3016;3021;1,69
22. 05:55Z;5;20;360;6;9;7.0;;6SM;10SM;///019 ///021 ///023;CYYR -SN OVC023;M7;M07;M12;M11;3016;3022;2,03
22. 06:15Z;15;30;360;3;9;4.0;;6SM;10SM;///018 ///021 ///022 ///023;CYYR -SN OVC023;M8;M07;M12;M11;3017;3022;1,69
22. 06:55Z;5;10;360;9;8;12.0;;6SM;12SM;///023 ///024 ///026;CYYR -SN OVC024;M8;M08;M12;M12;3018;3023;1,69
22. 07:15Z;15;10;360;7;8;9.0;;6SM;12SM;///023 ///024 ///026;CYYR -SN OVC024;M8;M08;M12;M12;3018;3023;1,69
22. 07:35Z;2;10;350;8;9;10.0;;6SM;15SM;///024 ///025;CYYR -SN OVC026;M8;M08;M12;M12;3018;3023;1,69
22. 07:55Z;5;10;320;10;12;12.0;;6SM;15SM;///024 ///025 ///026;CYYR -SN OVC026;M8;M08;M13;M12;3018;3024;2,03
22. 08:15Z;15;350;320;10;12;13.0;;6SM;15SM;///025 ///026;CYYR -SN OVC026;M9;M08;M13;M12;3019;3024;1,69
22. 08:35Z;2;350;320;10;11;11.0;;6SM;15SM;///022 ///023 ///024;CYYR -SN OVC024;M9;M10;M14;M12;3019;3024;1,69
22. 08:55Z;5;350;330;11;13;14.0;;6SM;15SM;///024;CYYR -SN OVC024;M10;M10;M14;M13;3019;3025;2,03
22. 12:02Z;2;360;330;9;9;10.0;;6SM;15SM;CLR;CYYR -SN BKN023;M11;M11;M16;M14;3022;3026;1,35
