Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
24. 00:15Z,15,160,140,3,4,,,6SM,15SM,CLR -60.4006°;,CYYR FEW240 CI2 DENSITY ALT -4327FT SLP214=,M18,M18,M23,M22,A3010,A3014
24. 00:55Z,5,300,230,2,4,3.0,,6SM,15SM,CLR -60.4006°;,CYYR FEW240 CI1 DENSITY ALT -4624FT SLP210=,M18,M20,M23,M23,A3010,A3013
24. 01:15Z,15,360,230,1,4,3.0,,6SM,15SM,CLR -60.4006°;,CYYR FEW240 CI1 DENSITY ALT -4624FT SLP210=,M18,M20,M23,M23,A3009,A3013
24. 01:55Z,5,130,200,2,3,3.0,,6SM,15SM,CLR -60.4006°;,CYYR FEW240 CI1 DENSITY ALT -4841FT SLP200=,M20,M22,M24,M25,A3007,A3011
24. 02:15Z,15,170,200,2,3,,,6SM,15SM,CLR -60.4006°;,CYYR FEW240 CI1 DENSITY ALT -4841FT SLP200=,M20,M22,M24,M25,A3007,A3011
24. 02:55Z,5,0,190,0,2,,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI5 DENSITY ALT -4593FT SLP190=,M21,M21,M24,M23,A3006,A3008
24. 03:15Z,15,360,190,1,2,2.0,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI5 DENSITY ALT -4593FT SLP190=,M21,M21,M24,M23,A3004,A3008
24. 03:55Z,5,240,150,8,2,20.0,,6SM,15SM,CLR MAX WND 25020KT -60.4006°;,CYYR BKN220 CI6 DENSITY ALT -4496FT SLP187=,M20,M20,M24,M22,A3003,A3007
24. 04:15Z,15,0,150,0,2,,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI6 DENSITY ALT -4496FT SLP187=,M20,M20,M24,M22,A3003,A3007
24. 04:55Z,5,20,320,2,2,3.0,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI6 DENSITY ALT -4600FT FROIN SLP180=,M20,M21,M23,M23,A3001,A3005
