Column2;Column3
METAR;Date/Time (UTC)
METAR 300534066581040 252355Z AUTO 09004G05KT M1/4SM FG CLR M10/M13 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2355Z
METAR 300534066581040 252335Z AUTO 08003G04KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2335Z
METAR 300534066581040 252315Z AUTO 08002G03KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2315Z
METAR 300534066581040 252255Z AUTO 09002G03KT 1 1/2SM BR CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2255Z
METAR 300534066581040 252235Z AUTO 10003KT 6SM CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2235Z
METAR 300534066581040 252215Z AUTO 10004G05KT 6SM ///008 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2215Z
METAR 300534066581040 252155Z AUTO 10004G05KT 6SM ///007 ///010 ///016 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2155Z
METAR 300534066581040 252135Z AUTO 08005G09KT 6SM ///002 ///005 M10/M13 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 2135Z
METAR 300534066581040 252115Z AUTO 09005G06KT 6SM ///002 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2115Z
METAR 300534066581040 252055Z AUTO 08006G09KT 6SM ///002 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2055Z
METAR 300534066581040 252035Z AUTO 09007G09KT 6SM ///030 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2035Z
METAR 300534066581040 252015Z AUTO 08007G08KT 6SM ///031 ///032 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2015Z
METAR 300534066581040 251955Z AUTO 07007G09KT 6SM CLR M9/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1955Z
METAR 300534066581040 251935Z AUTO 09008G12KT 6SM CLR M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1935Z
METAR 300534066581040 251915Z AUTO 09009G14KT 6SM ///002 ///003 M9/M13 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1915Z
METAR 300534066581040 251855Z AUTO 09007G10KT 6SM ///002 M9/M13 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1855Z
METAR 300534066581040 251835Z AUTO 09008G11KT 6SM CLR M9/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1835Z
METAR 300534066581040 251815Z AUTO 09007G09KT 6SM ///002 ///004 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1815Z
METAR 300534066581040 251755Z AUTO 09005G08KT 6SM ///002 ///009 ///010 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1755Z
METAR 300534066581040 251735Z AUTO 07005G07KT 6SM ///002 ///006 ///010 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1735Z
METAR 300534066581040 251715Z AUTO 09006G08KT 6SM ///007 ///008 ///010 M8/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1715Z
METAR 300534066581040 251655Z AUTO 10007G11KT 6SM ///004 ///005 ///006 M8/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1655Z
METAR 300534066581040 251635Z AUTO 10006G08KT 6SM ///002 ///018 M8/M15 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1635Z
METAR 300534066581040 251615Z AUTO 09006G10KT 6SM ///002 ///004 ///010 M8/M15 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1615Z
METAR 300534066581040 251555Z AUTO 10004G09KT 6SM ///002 ///005 ///017 ///018 M6/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1555Z
METAR 300534066581040 251535Z AUTO 09003G05KT 6SM ///002 ///006 ///015 ///016 M6/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1535Z
METAR 300534066581040 251515Z AUTO 36001G04KT 6SM ///004 ///006 ///014 ///015 M6/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1515Z
METAR 300534066581040 251455Z AUTO 32002G03KT 6SM ///002 ///006 ///007 M8/M14 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1455Z
METAR 300534066581040 251435Z AUTO 33002G03KT 6SM ///001 ///002 M9/M15 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1435Z
METAR 300534066581040 251415Z AUTO 34003G04KT 6SM ///002 ///004 ///006 M11/M16 A2979 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1415Z
METAR 300534066581040 251355Z AUTO 35005G06KT 6SM ///002 ///005 M11/M16 A2979 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1355Z
METAR 300534066581040 251335Z AUTO 34005G06KT 6SM ///003 ///004 ///006 ///020 M12/M17 A2978 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1335Z
METAR 300534066581040 251315Z AUTO 34005G07KT 6SM CLR M12/M17 A2978 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1315Z
METAR 300534066581040 251255Z AUTO 34007G08KT 6SM ///002 M13/M17 A2978 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1255Z
METAR 300534066581040 251235Z AUTO 34007G08KT 6SM ///015 ///016 ///017 M13/M17 A2977 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1235Z
METAR 300534066581040 251215Z AUTO 34008G09KT 6SM ///002 M14/M18 A2977 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1215Z
METAR 300534066581040 251155Z AUTO 34007G09KT 6SM ///002 M14/M18 A2976 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1155Z
METAR 300534066581040 251135Z AUTO 34007G08KT 6SM CLR M14/M18 A2975 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1135Z
METAR 300534066581040 251115Z AUTO 34008G10KT 6SM CLR M14/M18 A2975 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1115Z
METAR 300534066581040 251055Z AUTO 34009G11KT 6SM ///002 M14/M18 A2974 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1055Z
METAR 300534066581040 251035Z AUTO 34009G11KT 6SM ///002 ///011 M14/M17 A2973 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1035Z
