Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
17. 00:15Z,7,290,270,2,4,3.0,,6SM,12SM,///040 -60.4006°;02/17/2026 0015Z,CYYR -SHSN FEW020 BKN040,M6,M06,M10,M09,A3014,A3019
17. 00:35Z,13,340,270,2,4,3.0,,6SM,12SM,CLR -60.4006°;02/17/2026 0035Z,CYYR -SHSN FEW020 BKN040,M6,M06,M10,M09,A3014,A3019
17. 00:55Z,5,0,0,0,0,,,6SM,15SM,CLR -60.4006°;02/17/2026 0055Z,CYYR -SHSN FEW020 BKN046,M6,M06,M10,M09,A3013,A3018
17. 01:15Z,12,360,230,1,3,,,6SM,15SM,CLR -60.4006°;02/17/2026 0115Z,CYYR BKN050,M6,M07,M10,M09,A3013,A3018
17. 01:35Z,8,360,230,1,3,2.0,,6SM,15SM,///047 -60.4006°;02/17/2026 0135Z,CYYR BKN050,M7,M07,M10,M09,A3013,A3018
17. 01:55Z,5,360,0,1,0,,,6SM,15SM,CLR -60.4006°;02/17/2026 0155Z,CYYR OVC047,M7,M08,M10,M09,A3013,A3017
17. 02:15Z,15,190,0,2,0,,,6SM,15SM,///046 -60.4006°;02/17/2026 0215Z,CYYR OVC047,M7,M08,M10,M09,A3013,A3017
17. 02:55Z,5,360,0,1,0,,,6SM,15SM,///046 -60.4006°;02/17/2026 0255Z,CYYR OVC046,M6,M07,M9,M09,A3012,A3016
17. 03:15Z,15,360,0,1,0,2.0,,6SM,15SM,///045 ///046 -60.4006°;02/17/2026 0315Z,CYYR OVC046,M6,M07,M9,M09,A3011,A3016
17. 03:55Z,5,360,300,1,2,4.0,,6SM,15SM,///045 -60.4006°;02/17/2026 0355Z,CYYR OVC046,M6,M07,M9,M08,A3011,A3016
17. 04:15Z,15,360,300,1,2,4.0,,6SM,15SM,///043 ///046 -60.4006°;02/17/2026 0415Z,CYYR OVC046,M7,M07,M9,M08,A3011,A3016
17. 04:35Z,7,20,0,2,0,3.0,,6SM,15SM,///046 ///048 -60.4006°;02/17/2026 0435Z,CYYR -SHSN OVC047,M6,M07,M9,M08,A3011,A3015
17. 04:55Z,5,360,60,1,2,,,6SM,15SM,///046 ///047 -60.4006°;02/17/2026 0455Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3010,A3015
17. 05:15Z,15,0,60,0,2,,,6SM,15SM,///049 -60.4006°;02/17/2026 0515Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3010,A3015
17. 05:55Z,5,360,0,1,0,,,6SM,12SM,///032 -60.4006°;02/17/2026 0555Z,CYYR -SHSN OVC048,M6,M07,M9,M08,A3009,A3014
17. 06:15Z,4,360,310,1,3,2.0,,6SM,8SM,CLR -60.4006°;02/17/2026 0615Z,CYYR -SHSN FEW030 OVC050,M6,M07,M9,M08,A3009,A3014
17. 06:55Z,5,360,280,1,2,2.0,,6SM,12SM,///047 ///048 -60.4006°;02/17/2026 0655Z,CYYR -SHSN FEW030 OVC048,M7,M07,M9,M08,A3009,A3013
17. 07:15Z,15,320,280,2,2,,,6SM,12SM,///049 -60.4006°;02/17/2026 0715Z,CYYR -SHSN FEW030 OVC048,M7,M07,M9,M08,A3008,A3013
17. 07:55Z,5,360,230,1,3,2.0,,6SM,12SM,///048 -60.4006°;02/17/2026 0755Z,CYYR -SHSN FEW035 OVC048,M7,M07,M9,M08,A3008,A3013
17. 08:15Z,15,250,230,2,3,,,6SM,12SM,CLR -60.4006°;02/17/2026 0815Z,CYYR -SHSN FEW035 OVC048,M7,M07,M9,M08,A3008,A3013
17. 08:55Z,5,0,0,0,0,,,6SM,12SM,///047 -60.4006°;02/17/2026 0855Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3008,A3013
17. 09:15Z,15,0,0,0,0,,,6SM,12SM,///046 -60.4006°;02/17/2026 0915Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3008,A3013
17. 09:55Z,5,360,190,1,2,2.0,,6SM,12SM,///047 -60.4006°;02/17/2026 0955Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3008,A3012
17. 10:15Z,15,360,190,1,2,,,6SM,12SM,///046 ///047 ///048 -60.4006°;02/17/2026 1015Z,CYYR -SHSN OVC047,M7,M07,M9,M08,A3007,A3012
17. 10:55Z,5,250,200,2,3,,,6SM,15SM,///042 ///044 -60.4006°;02/17/2026 1055Z,CYYR -SHSN OVC045,M6,M07,M9,M08,A3007,A3012
17. 11:15Z,15,220,200,2,3,3.0,,6SM,15SM,///042 ///043 ///044 -60.4006°;02/17/2026 1115Z,CYYR -SHSN OVC045,M6,M07,M9,M08,A3008,A3012
17. 11:55Z,5,210,200,2,5,4.0,,6SM,15SM,///042 ///043 -60.4006°;02/17/2026 1155Z,CYYR -SHSN OVC043,M5,M06,M8,M06,A3008,A3012
